year,growth-rate
1961,2.30470638074818
1962,2.31168916319999
1963,2.30907889966126
1964,2.30119179559958
1965,2.23529958573103
1966,2.15183776822664
1967,2.12876735867267
1968,2.16886163107629
1969,2.2031572336638
1970,2.21018327712813
1971,2.21700817584549
1972,2.22743096189467
1973,2.25117630687251
1974,2.25820438079867
1975,2.23845727724451
1976,2.20905061418648
1977,2.20841658709872
1978,2.21293517819365
1979,2.22353406114706
1980,2.2612188534673
1981,2.27589299161564
1982,2.26080777945204
1983,2.25868924622921
1984,2.26275505157058
1985,2.24836240132238
1986,2.23527124737904
1987,2.21094603012958
1988,2.184281790986
1989,2.16921748136657
1990,2.14114053890499
1991,2.10189105362679
1992,2.07434424472354
1993,2.04783736093956
1994,2.02085601987654
1995,1.99187122902055
1996,1.95143550144522
1997,1.91926259528322
1998,1.88755786468172
1999,1.8493332514954
2000,1.82218400218023
2001,1.80844642123748
2002,1.77676787418134
2003,1.72426903226703
2004,1.67281087022876
2005,1.60412916927926
2006,1.52430796041014
2007,1.46637175001498
2008,1.42239150883577
2009,1.39119493033754
2010,1.37759581159767
2011,1.36158808453343
2012,1.33219204981494
2013,1.29754883539168
2014,1.24036218382689
2015,1.18779532005068
2016,1.18504622906796
2017,1.15562449067646
2018,1.08752772157855
2019,1.02531077187097
2020,0.95522085775158
2021,0.797216093898126
